time,latitude,longitude,acceleration,light,temperature,sound,temperature probe,altitude
06/28/2010 16:28:09,42.646584,-71.31325,0.86,1034.95,27.66,20,30.630838512803012552301255230125523,43
06/28/2010 16:28:10,42.646484,-71.31325,0.78,1036.60,27.66,10,30.630838512803012552301255230125523,43
06/28/2010 16:28:11,42.646404,-71.31323,0.86,1037.42,27.66,9,30.630838512803012552301255230125523,43
06/28/2010 16:28:12,42.646328,-71.3132,0.82,1036.60,27.66,11,30.630838512803012552301255230125523,43
06/28/2010 16:28:13,42.6462,-71.31312,0.86,1036.60,27.66,12,30.630838512803012552301255230125523,44
06/28/2010 16:28:14,42.646152,-71.31309,0.94,1034.95,27.66,14,30.630838512803012552301255230125523,45
06/28/2010 16:28:15,42.646103,-71.31306,0.98,1035.78,27.66,15,30.630838512803012552301255230125523,45
06/28/2010 16:28:16,42.64607,-71.313034,0.86,1036.60,27.66,15,30.630838512803012552301255230125523,45
06/28/2010 16:28:17,42.646053,-71.31301,0.90,1036.60,27.66,8,30.630838512803012552301255230125523,45
06/28/2010 16:28:19,42.646038,-71.312996,0.86,1036.60,27.66,7,30.630838512803012552301255230125523,45
06/28/2010 16:28:20,42.646038,-71.312996,0.86,1036.60,27.66,8,30.630838512803012552301255230125523,45
06/28/2010 16:28:21,42.646038,-71.312996,0.86,1036.60,27.66,15,30.630838512803012552301255230125523,45
06/28/2010 16:28:22,42.646038,-71.312996,0.86,1036.60,27.66,10,30.630838512803012552301255230125523,45
06/28/2010 16:28:23,42.646053,-71.312996,0.86,1036.60,27.66,8,30.630838512803012552301255230125523,45
06/28/2010 16:28:24,42.646053,-71.312996,0.86,1036.60,27.66,4,30.630838512803012552301255230125523,45
06/28/2010 16:28:25,42.646053,-71.312996,0.82,1036.60,27.66,7,30.630838512803012552301255230125523,45
06/28/2010 16:28:26,42.646053,-71.312996,0.86,1036.60,27.66,7,30.630838512803012552301255230125523,45
06/28/2010 16:28:27,42.646053,-71.312996,0.86,1036.60,27.66,3,30.630838512803012552301255230125523,44
06/28/2010 16:28:28,42.646053,-71.312996,0.86,1036.60,27.66,7,30.630838512803012552301255230125523,44
06/28/2010 16:28:29,42.646053,-71.312996,0.86,1036.60,27.66,7,30.630838512803012552301255230125523,44
06/28/2010 16:28:30,42.646053,-71.312996,0.86,1036.60,27.66,6,30.630838512803012552301255230125523,44
06/28/2010 16:28:31,42.646053,-71.31301,0.90,1036.60,27.66,5,30.630838512803012552301255230125523,45
06/28/2010 16:28:33,42.646053,-71.31301,0.86,1036.60,27.66,13,30.630838512803012552301255230125523,45
06/28/2010 16:28:34,42.646053,-71.31301,0.86,1036.60,27.66,7,30.630838512803012552301255230125523,45
06/28/2010 16:28:35,42.646053,-71.31301,0.86,1036.60,27.66,5,30.630838512803012552301255230125523,45
06/28/2010 16:28:36,42.646053,-71.31301,0.86,1036.60,27.66,12,30.630838512803012552301255230125523,45
06/28/2010 16:28:37,42.646053,-71.31301,0.86,1036.60,27.66,5,30.630838512803012552301255230125523,45
06/28/2010 16:28:38,42.646053,-71.31301,0.86,1036.60,27.66,6,30.630838512803012552301255230125523,45
