#PPSN:75
#DOU:Fri Feb 05 08:01:18 EST 2010
Time,Latitude,Longitude,Acceleration,Light,Temperature,Sound,Temperature Probe,Pedometer,Altitude
02/05/2010 07:43:04,,,0.98,0.00,2.20,5,17.908145507023583061889250814332248,0, 
02/05/2010 07:43:05,,,0.98,0.00,2.20,6,17.908145507023583061889250814332248,0, 
02/05/2010 07:43:06,,,0.98,0.00,1.87,7,17.804743684174796747967479674796748,0, 
02/05/2010 07:43:08,,,0.98,0.00,1.87,5,17.804743684174796747967479674796748,0, 
02/05/2010 07:43:09,,,0.98,0.00,1.87,5,17.804743684174796747967479674796748,0, 
02/05/2010 07:43:10,,,0.98,0.00,1.87,6,17.804743684174796747967479674796748,0, 
02/05/2010 07:43:11,,,0.98,0.00,1.87,5,17.701194086221298701298701298701299,0, 
02/05/2010 07:43:12,,,0.98,0.00,1.55,7,17.701194086221298701298701298701299,0, 
02/05/2010 07:43:13,,,0.98,0.00,1.55,6,17.701194086221298701298701298701299,0, 
02/05/2010 07:43:14,,,0.98,0.00,1.55,8,17.701194086221298701298701298701299,0, 
02/05/2010 07:43:15,,,0.98,0.00,1.55,7,17.597496646783565640194489465153971,0, 
02/05/2010 07:43:16,,,0.98,0.00,1.55,5,17.597496646783565640194489465153971,0, 
02/05/2010 07:43:17,,,0.98,0.00,1.55,6,17.597496646783565640194489465153971,0, 
02/05/2010 07:43:18,,,0.98,0.00,1.23,6,17.597496646783565640194489465153971,0, 
02/05/2010 07:43:19,,,0.98,0.00,1.23,7,17.597496646783565640194489465153971,0, 
02/05/2010 07:43:20,,,0.98,0.00,1.23,6,17.597496646783565640194489465153971,0, 
02/05/2010 07:43:21,,,0.98,0.00,1.23,5,17.493651299911715210355987055016181,0, 
02/05/2010 07:43:22,,,0.98,0.00,0.91,7,17.493651299911715210355987055016181,0, 
02/05/2010 07:43:23,,,0.98,0.00,0.91,7,17.493651299911715210355987055016181,0, 
02/05/2010 07:43:24,,,0.98,0.00,0.91,6,17.493651299911715210355987055016181,0, 
