time,light,temperature,temperature probe
09/09/2010 08:28:28,805.09,21.86,15.6253
09/09/2010 08:28:29,805.09,21.53,15.51285
09/09/2010 08:28:30,805.09,21.53,15.51285
09/09/2010 08:28:31,805.09,21.86,15.51285
09/09/2010 08:28:32,805.09,21.53,15.4004
09/09/2010 08:28:33,805.09,21.53,15.51285
09/09/2010 08:28:34,805.09,21.53,15.4004
09/09/2010 08:28:35,805.09,21.53,15.4004
09/09/2010 08:28:36,805.09,21.53,15.28795
09/09/2010 08:28:37,805.09,21.53,15.28795
09/09/2010 08:28:38,805.09,21.53,15.1755
09/09/2010 08:28:40,803.86,21.53,15.1755
09/09/2010 08:28:41,803.86,21.53,15.1755
09/09/2010 08:28:42,803.86,21.53,15.1755
09/09/2010 08:28:43,803.86,21.53,15.06305
09/09/2010 08:28:44,803.86,21.53,14.9506
09/09/2010 08:28:45,803.86,21.53,14.9506
09/09/2010 08:28:46,803.86,21.53,14.83815
09/09/2010 08:28:47,803.86,21.53,14.7257
09/09/2010 08:28:48,803.86,21.53,14.61325
09/09/2010 08:28:49,803.86,21.53,14.61325
09/09/2010 08:28:50,803.86,21.53,14.7257
09/09/2010 08:28:51,803.86,21.53,14.7257
09/09/2010 08:28:52,803.86,21.53,14.7257
09/09/2010 08:28:54,803.86,21.53,14.61325
09/09/2010 08:28:55,803.86,21.53,14.61325
09/09/2010 08:28:56,803.86,21.53,14.61325
09/09/2010 08:28:57,803.86,21.53,14.5008
09/09/2010 08:28:58,803.86,21.53,14.5008
09/09/2010 08:28:59,803.86,21.53,14.5008
09/09/2010 08:29:00,803.86,21.53,14.5008
09/09/2010 08:29:01,803.86,21.53,14.5008
09/09/2010 08:29:02,803.86,21.53,14.5008
09/09/2010 08:29:03,802.63,21.53,14.5008
09/09/2010 08:29:04,803.86,21.53,14.5008
09/09/2010 08:29:05,802.63,21.53,14.5008
09/09/2010 08:29:06,802.63,21.53,14.5008
09/09/2010 08:29:08,802.63,21.53,14.61325
09/09/2010 08:29:09,802.63,21.53,14.61325
09/09/2010 08:29:10,802.63,21.53,14.7257
09/09/2010 08:29:11,802.63,21.53,14.7257
09/09/2010 08:29:12,802.63,21.53,14.7257
09/09/2010 08:29:13,802.63,21.53,14.83815
09/09/2010 08:29:14,802.63,21.53,14.83815
