time,acceleration,light,temperature,sound,"cricket temperature probe"
"3/30/2128 20:00:00",1.02,818.48,20.24,0,11.91445
"3/30/2128 20:00:00",0.82,817.27,20.24,0,11.91445
"3/30/2128 20:00:00",0.94,817.27,20.24,0,11.91445
"3/30/2128 20:00:00",0.86,817.27,20.24,0,11.91445
"3/30/2128 20:00:00",1.02,817.27,20.24,0,11.91445
"3/30/2128 20:00:00",0.94,816.06,20.24,0,11.8020
"3/30/2128 20:00:00",1.05,816.06,20.24,0,11.8020
"3/30/2128 20:00:00",0.90,816.06,20.24,0,11.8020
"3/30/2128 20:00:00",0.98,816.06,20.24,0,11.68955
"3/30/2128 20:00:00",0.90,814.85,20.24,0,11.68955
"4/7/2000 20:04:02",0.00,818.48,20.24,0,11.91445
"3/30/2128 20:00:00",1.02,818.48,20.24,0,11.91445
"3/30/2128 20:00:00",0.82,817.27,20.24,0,11.91445
"3/30/2128 20:00:00",0.94,817.27,20.24,0,11.91445
"3/30/2128 20:00:00",0.86,817.27,20.24,0,11.91445
"3/30/2128 20:00:00",1.02,817.27,20.24,0,11.91445
"3/30/2128 20:00:00",0.94,816.06,20.24,0,11.8020
"3/30/2128 20:00:00",1.05,816.06,20.24,0,11.8020
"3/30/2128 20:00:00",0.90,816.06,20.24,0,11.8020
"3/30/2128 20:00:00",0.98,816.06,20.24,0,11.68955
"3/30/2128 20:00:00",0.90,814.85,20.24,0,11.68955
"4/7/2000 20:03:44",0.00,820.89,19.92,9,11.68955
"3/30/2128 20:00:00",0.86,826.89,20.24,0,11.68955
"3/30/2128 20:00:00",0.94,809.98,20.24,0,11.5771
"3/30/2128 20:00:00",0.94,808.76,20.24,0,11.5771
"3/30/2128 20:00:00",0.86,808.76,20.24,0,11.68955
"3/30/2128 20:00:00",0.94,801.39,20.24,0,11.68955
"3/30/2128 20:00:00",0.98,795.21,20.24,0,11.68955
"3/30/2128 20:00:00",0.90,809.98,20.24,0,11.5771
"3/30/2128 20:00:00",0.94,826.89,20.24,0,11.68955
"3/30/2128 20:00:00",0.94,813.64,20.24,0,11.8020
"3/30/2128 20:00:00",1.05,812.42,20.24,0,11.8020
"4/7/2000 20:03:44",0.00,820.89,19.92,9,11.68955
"3/30/2128 20:00:00",0.86,826.89,20.24,0,11.68955
"3/30/2128 20:00:00",0.94,809.98,20.24,0,11.5771
"3/30/2128 20:00:00",0.94,808.76,20.24,0,11.5771
"3/30/2128 20:00:00",0.86,808.76,20.24,0,11.68955
"3/30/2128 20:00:00",0.94,801.39,20.24,0,11.68955
"3/30/2128 20:00:00",0.98,795.21,20.24,0,11.68955
"3/30/2128 20:00:00",0.90,809.98,20.24,0,11.5771
"3/30/2128 20:00:00",0.94,826.89,20.24,0,11.68955
"3/30/2128 20:00:00",0.94,813.64,20.24,0,11.8020
"3/30/2128 20:00:00",1.05,812.42,20.24,0,11.8020
"4/7/2000 20:03:04",0.00,809.98,20.24,0,12.9265
"3/30/2128 20:00:00",0.94,811.20,20.24,0,13.03895
"3/30/2128 20:00:00",0.90,812.42,20.24,0,13.26385
"3/30/2128 20:00:00",0.90,811.20,20.24,0,13.3763
"3/30/2128 20:00:00",0.94,811.20,20.24,0,13.48875
"3/30/2128 20:00:00",0.94,811.20,20.24,0,13.6012
"3/30/2128 20:00:00",0.90,811.20,20.24,0,13.6012
"3/30/2128 20:00:00",0.90,811.20,20.24,0,13.6012
"3/30/2128 20:00:00",0.90,811.20,20.24,0,13.48875
"3/30/2128 20:00:00",0.98,809.98,20.24,0,13.6012
"3/30/2128 20:00:00",0.94,809.98,20.24,0,13.48875
"4/7/2000 20:03:04",0.00,809.98,20.24,0,12.9265
"3/30/2128 20:00:00",0.94,811.20,20.24,0,13.03895
"3/30/2128 20:00:00",0.90,812.42,20.24,0,13.26385
"3/30/2128 20:00:00",0.90,811.20,20.24,0,13.3763
"3/30/2128 20:00:00",0.94,811.20,20.24,0,13.48875
"3/30/2128 20:00:00",0.94,811.20,20.24,0,13.6012
"3/30/2128 20:00:00",0.90,811.20,20.24,0,13.6012
"3/30/2128 20:00:00",0.90,811.20,20.24,0,13.6012
"3/30/2128 20:00:00",0.90,811.20,20.24,0,13.48875
"3/30/2128 20:00:00",0.98,809.98,20.24,0,13.6012
"3/30/2128 20:00:00",0.94,809.98,20.24,0,13.48875
"4/7/2000 20:02:10",0.00,811.20,20.24,0,15.4004
"3/30/2128 20:00:00",0.94,812.42,20.24,0,15.73775
"3/30/2128 20:00:00",0.94,813.64,20.24,0,15.96265
"3/30/2128 20:00:00",0.98,813.64,20.24,0,16.41245
"3/30/2128 20:00:00",0.94,812.42,20.57,0,16.86225
"3/30/2128 20:00:00",0.94,811.20,20.24,0,17.31205
"3/30/2128 20:00:00",1.02,809.98,20.57,0,17.6494
"3/30/2128 20:00:00",0.94,811.20,20.57,0,17.76185
"3/30/2128 20:00:00",0.94,812.42,20.57,0,17.98675
"3/30/2128 20:00:00",0.90,812.42,20.57,0,18.3241
"3/30/2128 20:00:00",0.94,813.64,20.57,0,18.5490
"4/7/2000 20:02:10",0.00,811.20,20.24,0,15.4004
"3/30/2128 20:00:00",0.94,812.42,20.24,0,15.73775
"3/30/2128 20:00:00",0.94,813.64,20.24,0,15.96265
"3/30/2128 20:00:00",0.98,813.64,20.24,0,16.41245
"3/30/2128 20:00:00",0.94,812.42,20.57,0,16.86225
"3/30/2128 20:00:00",0.94,811.20,20.24,0,17.31205
"3/30/2128 20:00:00",1.02,809.98,20.57,0,17.6494
"3/30/2128 20:00:00",0.94,811.20,20.57,0,17.76185
"3/30/2128 20:00:00",0.94,812.42,20.57,0,17.98675
"3/30/2128 20:00:00",0.90,812.42,20.57,0,18.3241
"3/30/2128 20:00:00",0.94,813.64,20.57,0,18.5490
"4/7/2000 20:02:54",0.00,808.76,20.57,0,18.43655
"3/30/2128 20:00:00",0.90,808.76,20.57,0,18.43655
"3/30/2128 20:00:00",0.94,808.76,20.57,0,18.43655
"3/30/2128 20:00:00",0.90,808.76,20.57,0,18.21165
"3/30/2128 20:00:00",0.90,807.54,20.57,0,17.98675
"3/30/2128 20:00:00",0.86,807.54,20.57,0,17.8743
"3/30/2128 20:00:00",0.94,808.76,20.57,0,17.6494
"3/30/2128 20:00:00",0.94,808.76,20.24,0,17.4245
"3/30/2128 20:00:00",0.94,807.54,20.24,0,17.31205
"3/30/2128 20:00:00",0.86,826.89,20.24,0,17.08715
"3/30/2128 20:00:00",0.90,811.20,20.24,0,17.08715
"4/7/2000 20:02:54",0.00,808.76,20.57,0,18.43655
"3/30/2128 20:00:00",0.90,808.76,20.57,0,18.43655
"3/30/2128 20:00:00",0.94,808.76,20.57,0,18.43655
"3/30/2128 20:00:00",0.90,808.76,20.57,0,18.21165
"3/30/2128 20:00:00",0.90,807.54,20.57,0,17.98675
"3/30/2128 20:00:00",0.86,807.54,20.57,0,17.8743
"3/30/2128 20:00:00",0.94,808.76,20.57,0,17.6494
"3/30/2128 20:00:00",0.94,808.76,20.24,0,17.4245
"3/30/2128 20:00:00",0.94,807.54,20.24,0,17.31205
"3/30/2128 20:00:00",0.86,826.89,20.24,0,17.08715
"3/30/2128 20:00:00",0.90,811.20,20.24,0,17.08715
"4/7/2000 20:02:56",0.00,808.76,20.24,0,15.8502
"3/30/2128 20:00:00",0.90,835.22,20.24,0,15.96265
