time,latitude,longitude,acceleration,light,temperature,sound
491,42.78715,-71.10705,1.45,10.47,23.14,20
492,42.787167,-71.10705,1.13,4.19,23.14,5
493,,,1.13,0.00,23.14,11
494,42.78723,-71.10703,1.84,14.65,23.14,9
495,42.78723,-71.10702,1.05,14.65,23.14,11
496,42.787247,-71.107,1.02,12.56,23.14,9
497,42.78723,-71.10698,1.72,25.06,23.14,7
498,42.787247,-71.10698,1.13,2.10,23.14,3
499,42.787247,-71.10698,1.25,8.38,23.14,26
500,42.787266,-71.106964,1.05,10.47,23.14,6
501,42.787266,-71.106964,1.33,49.86,23.14,3
502,42.787266,-71.106964,0.98,16.73,22.82,6
503,42.787266,-71.10695,0.90,18.82,22.82,31
504,42.787266,-71.10695,0.74,37.49,22.82,24
505,42.787266,-71.10695,1.17,6.29,22.82,5
506,42.787266,-71.10695,1.41,2.10,22.82,3
507,42.787266,-71.10695,1.37,4.19,22.82,10
508,42.787296,-71.10693,1.33,2.10,22.82,27
509,42.787296,-71.10693,1.21,4.19,22.82,5
510,42.78731,-71.10695,1.33,2.10,22.82,5
511,42.78731,-71.10695,1.13,4.19,22.82,13
512,42.787296,-71.10693,1.25,8.38,22.82,10
513,42.78728,-71.10693,1.17,4.19,22.82,11
514,42.787266,-71.10693,1.45,2.10,22.82,16
515,42.78728,-71.10695,1.02,2.10,22.82,4
516,42.787296,-71.106964,1.25,2.10,22.82,10
517,42.787296,-71.10698,1.52,2.10,22.82,5
518,42.787296,-71.107,0.66,6.29,22.50,25
519,42.78731,-71.10698,0.82,4.19,22.50,9
520,42.78731,-71.107,0.74,4.19,22.50,6
521,,,0.98,14.65,22.50,35
522,,,0.94,16.73,22.50,31
523,42.787296,-71.10695,1.25,6.29,22.50,21
524,42.787296,-71.106964,0.86,16.73,22.50,6
525,42.78731,-71.106964,0.98,16.73,22.50,14
526,42.78731,-71.10698,1.05,8.38,22.50,7
527,42.78734,-71.107,1.29,27.13,22.50,2
528,,,1.13,33.35,22.50,1
