time,latitude,longitude,acel,light,temperature,sound
"Sep 26 2009 17:48:09",42.3140333333,-71.61805,1.1328125,250.1856,-14.560546875,0
"Sep 26 2009 17:48:10",42.3140333333,-71.6182166667,1.015625,229.4825,-14.8828125,0
"Sep 26 2009 17:48:11",42.3140333333,-71.6186166667,1.1328125,195.1349,-14.8828125,0
"Sep 26 2009 17:48:12",42.3140666667,-71.6188,0.9375,231.3736,-14.8828125,0
"Sep 26 2009 17:48:13",42.3141166667,-71.6190166667,0.9765625,346.8841,-14.8828125,0
"Sep 26 2009 17:48:15",42.3142,-71.6191833333,1.0546875,493.0325,-14.8828125,0
"Sep 26 2009 17:48:16",42.3143166667,-71.61935,1.015625,266.9625,-14.8828125,0
"Sep 26 2009 17:48:17",42.3144,-71.6194833333,1.015625,204.7344,-14.8828125,1
"Sep 26 2009 17:48:18",200.0,200.0,1.015625,339.7625,-14.8828125,0
"Sep 26 2009 17:48:19",200.0,200.0,0.9375,257.66,-14.8828125,0
"Sep 26 2009 17:48:20",42.31465,-71.6198833333,1.015625,387.2744,-14.8828125,0
"Sep 26 2009 17:48:21",42.3147166667,-71.6199333333,1.015625,371.5829,-14.8828125,0
"Sep 26 2009 17:48:22",42.3147833333,-71.6200166667,1.0546875,337.9776,-14.8828125,0
"Sep 26 2009 17:48:23",42.3148333333,-71.6200666667,1.015625,691.4549,-14.8828125,0
"Sep 26 2009 17:48:24",42.3148833333,-71.6200833333,1.015625,820.8949,-14.8828125,0
"Sep 26 2009 17:48:25",42.3149333333,-71.6201666667,0.9375,812.42,-14.560546875,0
"Sep 26 2009 17:48:26",42.3149333333,-71.6201666667,0.9765625,811.2021,-14.560546875,0
"Sep 26 2009 17:48:27",42.3149,-71.6201833333,1.0546875,811.2021,-14.560546875,0
"Sep 26 2009 17:48:29",42.3148666667,-71.6201833333,0.8984375,811.2021,-14.560546875,0
"Sep 26 2009 17:48:30",200.0,200.0,0.9765625,811.2021,-14.560546875,0
"Sep 26 2009 17:48:31",200.0,200.0,1.0546875,814.8504,-14.560546875,0
"Sep 26 2009 17:48:32",42.3148,-71.62025,1.015625,813.6361,-14.23828125,0
"Sep 26 2009 17:48:33",42.3148,-71.6202333333,1.0546875,814.8504,-14.23828125,0
"Sep 26 2009 17:48:34",42.3148,-71.6202166667,1.015625,826.8944,-14.23828125,0
"Sep 26 2009 17:48:35",42.3147833333,-71.6202,1.015625,818.4825,-14.23828125,0
"Sep 26 2009 17:48:36",200.0,200.0,1.015625,814.8504,-14.23828125,0
"Sep 26 2009 17:48:37",200.0,200.0,1.015625,749.32,-14.23828125,0
"Sep 26 2009 17:48:38",42.3148,-71.6202166667,0.9765625,611.1061,-14.560546875,0
"Sep 26 2009 17:48:39",42.3148,-71.6202166667,1.015625,440.2069,-14.560546875,0
"Sep 26 2009 17:48:40",42.3148,-71.6202166667,1.015625,321.8325,-14.560546875,0
"Sep 26 2009 17:48:41",42.3148,-71.6202166667,1.015625,318.2249,-14.560546875,0
"Sep 26 2009 17:48:43",42.3148,-71.62025,1.015625,305.5416,-14.560546875,0
"Sep 26 2009 17:48:44",42.3148,-71.6202666667,0.9375,88.5929,-14.560546875,0
