time,latitude,longitude,light,temperature,sound,acceleration,altitude
06/03/2010 10:47:47,42.67013,-71.42765,1069.49,31.20,0,1.33,49
06/03/2010 10:47:48,42.67013,-71.42765,1061.95,31.20,2,1.02,48
06/03/2010 10:47:49,42.67013,-71.427666,1059.65,30.88,0,0.86,48
06/03/2010 10:47:50,42.67013,-71.42769,1061.19,30.88,0,0.90,47
06/03/2010 10:47:51,42.67015,-71.42772,1061.95,30.88,0,0.70,47
06/03/2010 10:47:53,42.67015,-71.427734,1061.95,30.56,2,0.74,47
06/03/2010 10:47:53,42.67015,-71.42775,1064.99,30.56,0,0.98,47
06/03/2010 10:47:55,42.67015,-71.42775,1066.50,30.56,2,1.02,47
06/03/2010 10:47:56,42.67015,-71.427765,1065.74,30.56,1,1.05,46
06/03/2010 10:47:57,42.67015,-71.42778,1066.50,30.23,2,1.13,45
06/03/2010 10:47:58,42.67015,-71.4278,1068.00,30.23,0,1.02,45
06/03/2010 10:47:59,42.67015,-71.4278,1068.75,30.23,1,0.98,44
06/03/2010 10:48:00,42.67015,-71.42782,1069.49,30.23,0,0.82,44
06/03/2010 10:48:01,42.67013,-71.42783,1069.49,30.23,0,0.82,43
06/03/2010 10:48:02,42.670116,-71.42785,1072.46,30.23,0,0.98,42
06/03/2010 10:48:03,42.670116,-71.427864,1071.72,30.23,0,0.94,42
06/03/2010 10:48:04,42.6701,-71.42788,1072.46,30.23,0,1.33,42
06/03/2010 10:48:06,42.6701,-71.42788,1073.93,30.23,0,1.29,42
06/03/2010 10:48:07,42.670086,-71.427895,1073.20,30.23,0,1.09,42
06/03/2010 10:48:08,42.670086,-71.42791,1075.40,30.23,0,1.09,42
06/03/2010 10:48:09,42.670086,-71.42791,1077.58,30.23,0,1.09,42
06/03/2010 10:48:10,42.670067,-71.42793,1080.47,30.23,0,1.02,42
06/03/2010 10:48:11,42.670067,-71.42793,1076.13,29.91,0,0.98,42
06/03/2010 10:48:12,42.670067,-71.42795,1076.86,29.91,0,0.86,42
06/03/2010 10:48:13,42.670067,-71.42795,1076.86,29.91,0,0.98,42
06/03/2010 10:48:14,42.670067,-71.42797,1077.58,29.91,1,0.98,43
06/03/2010 10:48:15,42.670086,-71.427986,1077.58,29.91,4,0.98,42
06/03/2010 10:48:16,42.670086,-71.427986,1077.58,29.91,3,1.13,42
06/03/2010 10:48:17,42.670086,-71.428,1076.86,29.91,3,0.86,42
06/03/2010 10:48:19,42.670086,-71.42802,1073.93,29.91,3,0.90,42
06/03/2010 10:48:20,42.6701,-71.42803,1074.67,29.91,5,1.17,42
06/03/2010 10:48:21,42.6701,-71.428055,1073.93,29.59,5,1.17,42
06/03/2010 10:48:22,42.6701,-71.428055,1073.93,29.59,5,1.09,42
06/03/2010 10:48:23,42.6701,-71.42807,1073.93,29.59,2,1.05,42
06/03/2010 10:48:24,42.6701,-71.428085,1073.93,29.59,4,1.05,42
06/03/2010 10:48:25,42.6701,-71.4281,1074.67,29.59,0,1.17,42
06/03/2010 10:48:26,42.670116,-71.42813,1073.93,29.59,2,0.94,42
06/03/2010 10:48:27,42.670116,-71.42813,1078.31,29.59,2,0.86,42
06/03/2010 10:48:28,42.670116,-71.42815,1074.67,29.59,5,1.02,42
06/03/2010 10:48:30,42.670116,-71.42817,1074.67,29.59,7,1.13,43
06/03/2010 10:48:31,42.670116,-71.428185,1078.31,29.59,3,0.86,43
06/03/2010 10:48:32,42.670116,-71.4282,1077.58,29.59,0,0.86,43
06/03/2010 10:48:33,42.670116,-71.428215,1076.86,29.27,0,0.62,43
06/03/2010 10:48:34,42.670116,-71.428215,1076.86,29.59,0,0.98,43
06/03/2010 10:48:35,42.670116,-71.42823,1074.67,29.59,0,1.05,43
06/03/2010 10:48:36,42.670116,-71.428246,1074.67,29.59,0,1.21,43
06/03/2010 10:48:37,42.6701,-71.428246,1075.40,29.59,0,1.05,43
06/03/2010 10:48:38,42.6701,-71.428246,1076.13,29.27,0,0.94,43
06/03/2010 10:48:39,42.670067,-71.428246,1079.75,29.27,0,0.74,43
