time,latitude,longitude,light,temperature,sound,temperature probe,altitude
06/03/2010 10:42:31,42.67002,-71.42662,1082.62,31.20,44,30.882577986184210526315789473684211,63
06/03/2010 10:42:32,42.67002,-71.42662,1081.91,31.20,30,30.798796872709915966386554621848739,63
06/03/2010 10:42:33,42.67002,-71.42662,1083.33,31.20,3,30.798796872709915966386554621848739,64
06/03/2010 10:42:34,42.67002,-71.42662,1083.33,31.20,1,30.714883776515429769392033542976939,64
06/03/2010 10:42:35,42.670002,-71.42662,1083.33,31.20,39,30.630838512803012552301255230125523,64
06/03/2010 10:42:36,42.670002,-71.42662,1083.33,31.52,0,30.714883776515429769392033542976939,64
06/03/2010 10:42:37,42.670002,-71.42662,1084.04,31.52,6,30.714883776515429769392033542976939,65
06/03/2010 10:42:38,42.670002,-71.42662,1083.33,31.52,4,30.546660898318121085594989561586639,64
06/03/2010 10:42:40,42.670002,-71.42662,1081.91,31.20,27,30.377907891632474012474012474012474,63
06/03/2010 10:42:41,42.670002,-71.426636,1081.91,31.20,3,30.208623320680207039337474120082816,64
06/03/2010 10:42:42,42.670002,-71.426636,1076.13,31.20,12,30.208623320680207039337474120082816,63
06/03/2010 10:42:43,42.670002,-71.426636,1081.19,30.88,25,30.123781256412561983471074380165289,63
06/03/2010 10:42:44,42.670002,-71.426636,1081.19,30.88,28,30.038805773365979381443298969072165,63
06/03/2010 10:42:45,42.670002,-71.426636,1080.47,30.88,22,30.038805773365979381443298969072165,63
06/03/2010 10:42:46,42.670002,-71.426636,1081.19,30.88,17,30.038805773365979381443298969072165,63
06/03/2010 10:42:47,42.670002,-71.42665,1079.75,30.88,24,30.038805773365979381443298969072165,63
06/03/2010 10:42:48,42.670002,-71.42667,1080.47,30.88,14,30.038805773365979381443298969072165,64
06/03/2010 10:42:49,42.669987,-71.42667,1081.19,30.88,8,29.953696698649218106995884773662551,64
06/03/2010 10:42:50,42.669987,-71.42668,1080.47,30.56,11,29.953696698649218106995884773662551,64
06/03/2010 10:42:51,42.669987,-71.42668,1080.47,30.56,20,29.953696698649218106995884773662551,64
06/03/2010 10:42:53,42.669987,-71.426704,1080.47,30.56,23,29.868453860791088295687885010266940,63
06/03/2010 10:42:54,42.669987,-71.426704,1079.75,30.56,40,29.868453860791088295687885010266940,63
06/03/2010 10:42:55,42.66997,-71.426704,1079.75,30.23,21,29.783077089725901639344262295081967,63
06/03/2010 10:42:56,42.66997,-71.42672,1079.75,30.23,25,29.611921074653061224489795918367347,63
06/03/2010 10:43:38,42.669815,-71.42668,1081.91,30.23,1,29.697566216779100204498977505112474,59
06/03/2010 10:43:39,42.669815,-71.42668,1082.62,30.23,0,29.697566216779100204498977505112474,59
06/03/2010 10:43:40,42.669815,-71.42668,1081.91,29.91,17,29.697566216779100204498977505112474,59
06/03/2010 10:43:41,42.669815,-71.42667,1081.19,29.91,1,29.611921074653061224489795918367347,59
06/03/2010 10:43:42,42.6698,-71.42667,1081.91,29.91,10,29.611921074653061224489795918367347,59
06/03/2010 10:43:43,42.6698,-71.42667,1080.47,29.91,0,29.611921074653061224489795918367347,59
06/03/2010 10:43:45,42.669785,-71.42665,1080.47,29.91,2,29.611921074653061224489795918367347,59
06/03/2010 10:43:46,42.669765,-71.42665,1079.75,29.91,0,29.611921074653061224489795918367347,59
06/03/2010 10:43:47,42.669765,-71.42665,1080.47,30.23,0,29.611921074653061224489795918367347,59
06/03/2010 10:43:48,42.66975,-71.426636,1081.19,29.91,3,29.611921074653061224489795918367347,59
