time,latitude,longitude,light,temperature,sound,"temperature probe"
"10/15/2009 17:26:10",42.855885,-71.19096,0.00,-18.75,0,6.1795
"10/15/2009 17:26:11",42.85582,-71.191216,0.00,-18.75,0,6.1795
"10/15/2009 17:26:13",42.855736,-71.19148,0.00,22.18,0,6.1795
"10/15/2009 17:26:14",42.855663,-71.19172,0.00,-19.07,0,6.1795
"10/15/2009 17:26:15",42.8556,-71.19197,0.00,-19.07,0,6.1795
"10/15/2009 17:26:16",42.855534,-71.19222,0.00,-18.75,0,6.1795
"10/15/2009 17:26:17",42.855484,-71.19247,0.00,-18.75,0,6.1795
"10/15/2009 17:26:18",42.85542,-71.19272,0.00,-19.07,0,6.1795
"10/15/2009 17:26:19",42.855347,-71.19297,0.00,-18.75,0,6.1795
"10/15/2009 17:26:20",42.855297,-71.19324,0.00,-18.75,0,6.1795
"10/15/2009 17:26:21",42.855247,-71.19347,0.00,-18.75,0,6.1795
"10/15/2009 17:26:22",42.8552,-71.19372,0.00,-18.75,0,6.1795
"10/15/2009 17:26:23",42.855103,-71.194214,0.00,-19.07,0,6.1795
"10/15/2009 17:26:24",42.855053,-71.19448,0.00,-19.07,0,6.1795
"10/15/2009 17:26:25",42.85498,-71.19475,0.00,-18.75,0,6.1795
"10/15/2009 17:26:27",42.85493,-71.195,0.00,22.18,0,6.1795
"10/15/2009 17:26:28",42.85488,-71.195244,0.00,-18.75,0,6.1795
"10/15/2009 17:26:29",42.85485,-71.19548,0.00,-18.75,0,6.1795
"10/15/2009 17:26:30",42.85485,-71.19572,0.00,-18.75,0,6.1795
"10/15/2009 17:26:31",42.854836,-71.19593,0.00,-18.75,0,6.1795
"10/15/2009 17:26:32",42.854816,-71.19617,0.00,-18.75,0,6.1795
"10/15/2009 17:26:33",42.8548,-71.1964,0.00,-19.07,0,6.1795
"10/15/2009 17:26:34",42.854786,-71.19662,0.00,-18.75,0,6.1795
"10/15/2009 17:26:35",42.85475,-71.19685,0.00,-18.75,0,6.1795
"10/15/2009 17:26:36",42.854736,-71.19709,0.00,-19.07,0,6.1795
"10/15/2009 17:26:37",42.854664,-71.19756,0.00,22.18,0,6.1795
"10/15/2009 17:26:38",42.854614,-71.1978,0.00,-18.75,0,6.1795
"10/15/2009 17:26:39",42.8546,-71.19803,0.00,-19.07,0,6.1795
"10/15/2009 17:26:41",42.854565,-71.198265,0.00,-18.75,0,6.1795
"10/15/2009 17:26:42",42.854534,-71.1985,0.00,-18.75,0,6.1795
"10/15/2009 17:26:43",42.8545,-71.198746,0.00,-19.07,0,6.1795
"10/15/2009 17:26:44",42.85447,-71.199,0.00,-18.75,0,6.1795
"10/15/2009 17:26:45",42.85445,-71.199234,0.00,-18.75,0,6.06705
"10/15/2009 17:26:46",42.85442,-71.1995,0.00,-18.75,0,6.06705
"10/15/2009 17:26:47",42.854385,-71.199745,0.00,-19.07,0,6.06705
"10/15/2009 17:26:48",42.854355,-71.2,0.00,-18.75,0,6.06705
"10/15/2009 17:26:49",42.854313,-71.20234,0.00,22.18,0,6.06705
"10/15/2009 17:26:50",42.854248,-71.207504,0.00,-19.07,0,6.06705
"10/15/2009 17:26:51",42.854214,-71.21,0.00,-18.75,0,6.06705
"10/15/2009 17:26:52",42.854183,-71.2125,0.00,-19.07,0,6.06705
"10/15/2009 17:26:54",42.85415,-71.215,0.00,22.18,0,6.06705
"10/15/2009 17:26:55",42.85412,-71.20175,0.00,22.18,0,6.06705
"10/15/2009 17:26:56",42.854084,-71.202,0.00,22.18,0,6.06705
"10/15/2009 17:26:57",42.85407,-71.20225,0.00,-18.75,0,6.06705
"10/15/2009 17:26:58",42.85404,-71.2025,0.00,-19.07,0,6.06705
"10/15/2009 17:26:59",42.854004,-71.202736,0.00,22.18,0,6.06705
"10/15/2009 17:27:00",42.85398,-71.20297,0.00,22.18,0,6.06705
"10/15/2009 17:27:01",42.853947,-71.20318,0.00,22.18,0,6.06705
"10/15/2009 17:27:02",42.85393,-71.203415,0.00,22.18,0,6.06705
"10/15/2009 17:27:03",42.853897,-71.20365,0.00,-19.07,0,6.06705
"10/15/2009 17:27:04",42.853848,-71.20412,0.00,22.18,0,6.06705
"10/15/2009 17:27:05",42.8538,-71.20435,0.00,22.18,0,6.06705
"10/15/2009 17:27:06",42.853767,-71.20461,0.00,22.18,0,6.06705
"10/15/2009 17:27:08",42.853737,-71.20488,0.00,22.18,0,6.06705
"10/15/2009 17:27:09",42.853703,-71.205154,0.00,-18.75,0,6.06705
"10/15/2009 17:27:10",42.853672,-71.20544,0.00,-19.07,0,6.06705
"10/15/2009 17:27:11",42.85363,-71.20571,0.00,22.18,0,6.06705
