time,light,"temperature probe"
"11/5/2009 15:01:05",183.56,10.0028
"11/5/2009 15:01:06",183.56,10.0028
"11/5/2009 15:01:07",204.73,10.0028
"11/5/2009 15:01:08",212.38,10.0028
"11/5/2009 15:01:09",218.10,10.0028
"11/5/2009 15:01:10",223.80,10.0028
"11/5/2009 15:01:11",223.80,10.0028
"11/5/2009 15:01:12",221.90,10.0028
"11/5/2009 15:01:13",220.00,10.0028
"11/5/2009 15:01:14",223.80,10.0028
"11/5/2009 15:01:15",218.10,10.0028
"11/5/2009 15:01:16",223.80,10.0028
"11/5/2009 15:01:17",221.90,10.0028
"11/5/2009 15:01:18",221.90,10.0028
"11/5/2009 15:01:20",225.69,10.0028
"11/5/2009 15:01:21",218.10,10.0028
"11/5/2009 15:01:22",221.90,10.0028
"11/5/2009 15:01:23",221.90,10.0028
"11/5/2009 15:01:24",223.80,10.0028
"11/5/2009 15:01:25",218.10,10.0028
"11/5/2009 15:01:26",218.10,10.0028
"11/5/2009 15:01:27",220.00,10.0028
"11/5/2009 15:01:28",223.80,10.0028
"11/5/2009 15:01:29",221.90,10.0028
"11/5/2009 15:01:30",221.90,10.0028
"11/5/2009 15:01:31",220.00,10.11525
"11/5/2009 15:01:32",218.10,10.11525
"11/5/2009 15:01:33",220.00,10.0028
"11/5/2009 15:01:34",223.80,10.0028
"11/5/2009 15:01:36",221.90,10.11525
"11/5/2009 15:01:37",214.29,10.11525
"11/5/2009 15:01:38",210.47,10.11525
"11/5/2009 15:01:39",193.21,10.11525
"11/5/2009 15:01:40",200.90,10.11525
"11/5/2009 15:01:41",212.38,10.11525
"11/5/2009 15:01:42",200.90,10.11525
"11/5/2009 15:01:43",202.82,10.11525
"11/5/2009 15:01:44",218.10,10.11525
"11/5/2009 15:01:45",221.90,10.11525
"11/5/2009 15:01:46",223.80,10.11525
"11/5/2009 15:01:47",225.69,10.11525
"11/5/2009 15:01:48",221.90,10.11525
"11/5/2009 15:01:49",221.90,10.11525
"11/5/2009 15:01:50",220.00,10.11525
"11/5/2009 15:01:52",220.00,10.11525
"11/5/2009 15:01:53",225.69,10.11525
"11/5/2009 15:01:54",225.69,10.11525
"11/5/2009 15:01:55",225.69,10.11525
"11/5/2009 15:01:56",220.00,10.11525
"11/5/2009 15:01:57",218.10,10.11525
"11/5/2009 15:01:58",204.73,10.11525
"11/5/2009 15:01:59",202.82,10.11525
"11/5/2009 15:02:00",208.56,10.11525
"11/5/2009 15:02:01",212.38,10.11525
"11/5/2009 15:02:02",208.56,10.11525
"11/5/2009 15:02:03",204.73,10.11525
"11/5/2009 15:02:04",195.13,10.11525
"11/5/2009 15:02:05",185.49,10.11525
"11/5/2009 15:02:06",193.21,10.11525
"11/5/2009 15:02:08",189.35,10.11525
"11/5/2009 15:02:09",183.56,10.11525
"11/5/2009 15:02:10",195.13,10.11525
"11/5/2009 15:02:11",193.21,10.11525
"11/5/2009 15:02:12",187.42,10.11525
"11/5/2009 15:02:13",187.42,10.11525
"11/5/2009 15:02:14",179.68,10.11525
"11/5/2009 15:02:15",185.49,10.11525
"11/5/2009 15:02:16",181.62,10.2277
"11/5/2009 15:02:17",185.49,10.2277
"11/5/2009 15:02:18",181.62,10.2277
"11/5/2009 15:02:19",189.35,10.2277
"11/5/2009 15:02:20",187.42,10.2277
