time,latitude,longitude,acceleration,light,temperature,sound,"cricket temperature probe"
"10/15/2009 14:46:08",42.902622,-71.07255,0.98,10.47,-13.92,0,28.2197
"10/15/2009 14:46:09",42.902622,-71.07255,0.98,12.56,-13.92,0,28.2197
"10/15/2009 14:46:10",42.902622,-71.07255,0.98,10.47,-13.92,0,28.2197
"10/15/2009 14:46:11",42.902622,-71.07253,0.98,10.47,-13.92,0,28.2197
"10/15/2009 14:46:12",42.902622,-71.07252,0.98,10.47,-13.92,0,28.2197
"10/15/2009 14:46:13",42.902622,-71.07253,0.98,10.47,-13.92,0,28.2197
"10/15/2009 14:46:14",42.902622,-71.07252,0.98,10.47,-13.92,0,28.2197
"10/15/2009 14:46:15",42.902622,-71.07253,0.98,10.47,-13.92,0,28.2197
"10/15/2009 14:46:16",42.902622,-71.07253,0.98,12.56,-13.92,0,28.2197
"10/15/2009 14:46:17",42.902596,-71.07255,0.98,12.56,-13.92,0,28.2197
"10/15/2009 14:46:18",42.902596,-71.07255,1.02,12.56,-13.92,0,28.33215
"10/15/2009 14:46:19",42.902596,-71.07255,0.98,12.56,-13.92,0,28.33215
"10/15/2009 14:46:19",,,1.02,12.56,-13.92,0,28.33215
"10/15/2009 14:46:22",42.902596,-71.07256,0.94,10.47,-13.92,0,28.33215
"10/15/2009 14:46:23",42.902596,-71.07256,0.98,12.56,-13.92,0,28.33215
"10/15/2009 14:46:24",42.902596,-71.07256,0.98,12.56,-13.92,0,28.33215
"10/15/2009 14:46:25",42.902596,-71.07256,0.98,12.56,-13.59,0,28.33215
"10/15/2009 14:46:26",42.902596,-71.07256,0.98,10.47,-13.92,0,28.33215
"10/15/2009 14:46:27",42.902596,-71.07256,0.98,12.56,-13.59,0,28.33215
"10/15/2009 14:46:28",42.902596,-71.07256,0.98,12.56,-13.92,0,28.33215
"10/15/2009 14:46:29",42.902596,-71.07256,0.98,12.56,-13.92,0,28.33215
"10/15/2009 14:46:30",42.902596,-71.07255,0.98,12.56,-13.59,0,28.33215
"10/15/2009 14:46:31",42.902596,-71.07255,0.98,12.56,-13.59,0,28.33215
"10/15/2009 14:46:32",42.902596,-71.07253,0.98,12.56,-13.59,0,28.33215
"10/15/2009 14:46:33",42.902596,-71.07253,0.98,10.47,-13.59,0,28.4446
"10/15/2009 14:46:34",42.902596,-71.07253,1.02,10.47,-13.59,0,28.4446
"10/15/2009 14:46:36",42.902596,-71.07252,0.98,12.56,-13.59,0,28.4446
"10/15/2009 14:46:37",42.902596,-71.0725,0.98,10.47,-13.59,0,28.4446
"10/15/2009 14:46:38",42.902596,-71.0725,1.02,12.56,-13.59,0,28.4446
"10/15/2009 14:46:39",42.902596,-71.07249,1.02,16.73,-13.59,0,28.4446
"10/15/2009 14:46:40",42.902622,-71.07249,1.13,154.33,-13.59,0,28.4446
"10/15/2009 14:46:41",42.902637,-71.07249,1.17,162.16,-13.59,0,28.55705
"10/15/2009 14:46:42",42.902668,-71.07252,1.09,169.97,-13.59,0,28.6695
"10/15/2009 14:46:43",42.902733,-71.07253,1.09,169.97,-13.59,0,28.6695
"10/15/2009 14:46:44",42.902798,-71.07253,1.02,166.07,-13.59,0,28.78195
"10/15/2009 14:46:45",42.90293,-71.07249,1.05,164.11,-13.59,0,28.78195
"10/15/2009 14:46:46",42.903214,-71.07238,1.09,160.20,-13.27,0,28.8944
"10/15/2009 14:46:47",42.903355,-71.072334,1.02,162.16,-13.59,0,28.8944
